Ric,Enable,Date,Sodpos,HistVol,Beta,BuyAlpha,SellAlpha,VolMultiplier
000001.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000002.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000009.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000024.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000027.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000039.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000060.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000061.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000063.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000069.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000100.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000156.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000157.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000333.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000338.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000400.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000401.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000402.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000413.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000423.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000425.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000503.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000536.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000538.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000559.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000568.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000581.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000598.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000623.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000625.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000629.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000630.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000651.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000686.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000709.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000725.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000728.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000729.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000750.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000768.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000776.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000778.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000783.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000792.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000793.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000800.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000825.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000826.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000831.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000839.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000858.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000869.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000876.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000878.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000883.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000895.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000898.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000917.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000937.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000960.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000963.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000970.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000983.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000999.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
002001.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
002007.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
002008.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
002024.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
002038.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
002051.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
002065.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
002081.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
002129.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
002142.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
002146.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
002153.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
002202.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
002230.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
002236.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
002241.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
002252.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
002292.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
002294.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
002304.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
002310.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
002344.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
002353.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
002375.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
002385.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
002399.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
002400.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
002410.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
002415.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
002416.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
002422.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
002429.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
002450.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
002456.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
002465.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
002470.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
002475.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
002500.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
002570.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
002594.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
002603.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
002653.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
002673.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
300015.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
300017.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
300024.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
300027.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
300058.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
300070.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
300124.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
300133.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
300146.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
300251.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
600000.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600008.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600009.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600010.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600011.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600015.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600016.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600018.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600019.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600023.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600027.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600028.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600029.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600030.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600031.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600036.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600038.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600048.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600050.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600058.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600060.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600066.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600068.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600079.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600085.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600089.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600100.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600104.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600108.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600109.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600111.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600115.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600118.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600143.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600150.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600153.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600157.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600166.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600170.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600177.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600188.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600196.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600208.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600221.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600252.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600256.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600267.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600271.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600276.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600277.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600309.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600315.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600316.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600332.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600340.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600348.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600352.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600362.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600369.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600372.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600373.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600383.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600395.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600398.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600406.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600415.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600436.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600485.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600489.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600497.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600498.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600516.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600518.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600519.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600535.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600547.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600549.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600570.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600578.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600583.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600585.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600588.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600597.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600600.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600633.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600637.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600642.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600648.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600649.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600655.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600660.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600663.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600664.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600674.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600688.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600690.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600703.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600705.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600718.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600739.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600741.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600783.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600795.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600804.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600809.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600827.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600832.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600837.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600839.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600863.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600867.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600873.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600875.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600880.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600886.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600887.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600893.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600900.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600998.SH,TRUE,20141208,0,0.5,0.89,0,0,1
600999.SH,TRUE,20141208,0,0.5,0.89,0,0,1
601006.SH,TRUE,20141208,0,0.5,0.89,0,0,1
601009.SH,TRUE,20141208,0,0.5,0.89,0,0,1
601018.SH,TRUE,20141208,0,0.5,0.89,0,0,1
601088.SH,TRUE,20141208,0,0.5,0.89,0,0,1
601098.SH,TRUE,20141208,0,0.5,0.89,0,0,1
601111.SH,TRUE,20141208,0,0.5,0.89,0,0,1
601117.SH,TRUE,20141208,0,0.5,0.89,0,0,1
601118.SH,TRUE,20141208,0,0.5,0.89,0,0,1
601158.SH,TRUE,20141208,0,0.5,0.89,0,0,1
601166.SH,TRUE,20141208,0,0.5,0.89,0,0,1
601168.SH,TRUE,20141208,0,0.5,0.89,0,0,1
601169.SH,TRUE,20141208,0,0.5,0.89,0,0,1
601179.SH,TRUE,20141208,0,0.5,0.89,0,0,1
601186.SH,TRUE,20141208,0,0.5,0.89,0,0,1
601216.SH,TRUE,20141208,0,0.5,0.89,0,0,1
601225.SH,TRUE,20141208,0,0.5,0.89,0,0,1
601231.SH,TRUE,20141208,0,0.5,0.89,0,0,1
601258.SH,TRUE,20141208,0,0.5,0.89,0,0,1
601288.SH,TRUE,20141208,0,0.5,0.89,0,0,1
601299.SH,TRUE,20141208,0,0.5,0.89,0,0,1
601318.SH,TRUE,20141208,0,0.5,0.89,0,0,1
601328.SH,TRUE,20141208,0,0.5,0.89,0,0,1
601333.SH,TRUE,20141208,0,0.5,0.89,0,0,1
601336.SH,TRUE,20141208,0,0.5,0.89,0,0,1
601377.SH,TRUE,20141208,0,0.5,0.89,0,0,1
601390.SH,TRUE,20141208,0,0.5,0.89,0,0,1
601398.SH,TRUE,20141208,0,0.5,0.89,0,0,1
601555.SH,TRUE,20141208,0,0.5,0.89,0,0,1
601600.SH,TRUE,20141208,0,0.5,0.89,0,0,1
601601.SH,TRUE,20141208,0,0.5,0.89,0,0,1
601607.SH,TRUE,20141208,0,0.5,0.89,0,0,1
601618.SH,TRUE,20141208,0,0.5,0.89,0,0,1
601628.SH,TRUE,20141208,0,0.5,0.89,0,0,1
601633.SH,TRUE,20141208,0,0.5,0.89,0,0,1
601668.SH,TRUE,20141208,0,0.5,0.89,0,0,1
601669.SH,TRUE,20141208,0,0.5,0.89,0,0,1
601688.SH,TRUE,20141208,0,0.5,0.89,0,0,1
601699.SH,TRUE,20141208,0,0.5,0.89,0,0,1
601727.SH,TRUE,20141208,0,0.5,0.89,0,0,1
601766.SH,TRUE,20141208,0,0.5,0.89,0,0,1
601800.SH,TRUE,20141208,0,0.5,0.89,0,0,1
601808.SH,TRUE,20141208,0,0.5,0.89,0,0,1
601818.SH,TRUE,20141208,0,0.5,0.89,0,0,1
601857.SH,TRUE,20141208,0,0.5,0.89,0,0,1
601866.SH,TRUE,20141208,0,0.5,0.89,0,0,1
601888.SH,TRUE,20141208,0,0.5,0.89,0,0,1
601898.SH,TRUE,20141208,0,0.5,0.89,0,0,1
601899.SH,TRUE,20141208,0,0.5,0.89,0,0,1
601901.SH,TRUE,20141208,0,0.5,0.89,0,0,1
601928.SH,TRUE,20141208,0,0.5,0.89,0,0,1
601929.SH,TRUE,20141208,0,0.5,0.89,0,0,1
601933.SH,TRUE,20141208,0,0.5,0.89,0,0,1
601939.SH,TRUE,20141208,0,0.5,0.89,0,0,1
601958.SH,TRUE,20141208,0,0.5,0.89,0,0,1
601988.SH,TRUE,20141208,0,0.5,0.89,0,0,1
601989.SH,TRUE,20141208,0,0.5,0.89,0,0,1
601992.SH,TRUE,20141208,0,0.5,0.89,0,0,1
601998.SH,TRUE,20141208,0,0.5,0.89,0,0,1
603000.SH,TRUE,20141208,0,0.5,0.89,0,0,1
603288.SH,TRUE,20141208,0,0.5,0.89,0,0,1
603699.SH,TRUE,20141208,0,0.5,0.89,0,0,1
603993.SH,TRUE,20141208,0,0.5,0.89,0,0,1